45.16.37.164|opera|osx
178.153.108.224|mozilla|linux
76.73.91.41|mozilla|windows
46.8.116.147|mozilla|freebsd
149.178.17.66|iceweacel|unix
108.242.202.123|chrome|freebsd
56.247.177.3|mozilla|osx
10.96.25.53|opera|osx
140.190.245.34|iceweacel|osx
74.202.18.130|yandex|osx
41.128.137.149|chrome|windows
92.47.93.28|iceweacel|linux
236.48.132.136|iceweacel|osx
230.176.234.44|yandex|unix
198.82.128.186|yandex|osx
57.177.70.122|chrome|unix
125.120.103.137|opera|windows
165.123.208.92|iceweacel|unix
80.31.4.47|yandex|unix
186.209.92.245|iceweacel|unix
181.84.66.125|iceweacel|freebsd
242.186.165.20|iceweacel|osx
211.34.191.82|opera|windows
89.16.117.200|mozilla|windows
99.52.181.155|iceweacel|osx
21.21.82.116|iceweacel|freebsd
94.67.112.32|chrome|unix
159.190.219.249|mozilla|osx
57.5.22.140|iceweacel|unix
88.128.212.140|mozilla|freebsd
188.150.247.141|chrome|windows
171.29.170.222|mozilla|windows
67.151.220.114|opera|unix
144.249.140.199|yandex|osx
103.42.118.213|chrome|unix
225.178.176.95|chrome|windows
92.117.244.245|opera|freebsd
92.222.239.157|mozilla|windows
24.147.63.19|chrome|windows
135.200.181.182|mozilla|unix
24.19.9.50|yandex|unix
132.68.153.196|opera|windows
226.84.87.42|chrome|windows
127.20.91.205|mozilla|osx
231.186.165.149|chrome|freebsd
120.178.187.0|opera|linux
96.252.19.206|mozilla|freebsd
140.65.78.66|yandex|unix
94.218.206.179|yandex|linux
148.239.155.53|chrome|linux
67.190.146.112|mozilla|windows
149.126.190.143|iceweacel|linux
65.166.241.175|mozilla|osx
7.186.250.156|opera|osx
147.34.43.22|yandex|windows
69.87.242.74|iceweacel|linux
130.16.179.117|yandex|osx
161.163.115.242|iceweacel|osx
53.251.95.8|chrome|windows
119.50.208.247|chrome|windows
181.50.220.247|mozilla|unix
206.70.122.100|chrome|windows
157.209.190.46|opera|unix
160.92.37.163|yandex|freebsd
30.179.220.160|opera|unix
67.17.43.79|yandex|unix
144.118.151.170|iceweacel|osx
218.252.42.216|yandex|freebsd
72.56.22.193|mozilla|osx
193.253.100.185|iceweacel|linux
155.178.122.242|opera|linux
117.227.46.55|chrome|osx
175.253.196.197|yandex|unix
175.191.194.168|yandex|freebsd
54.99.238.146|iceweacel|freebsd
115.68.204.52|iceweacel|unix
29.126.243.197|opera|osx
149.39.150.29|mozilla|freebsd
129.92.141.82|yandex|windows
5.110.251.37|mozilla|windows
147.111.229.106|opera|freebsd
24.197.57.193|yandex|unix
13.29.84.66|yandex|windows
235.89.211.33|chrome|windows
184.242.121.76|iceweacel|freebsd
52.254.79.18|yandex|unix
177.76.148.228|iceweacel|osx
40.88.146.83|iceweacel|linux
233.250.46.248|opera|osx
196.7.163.157|iceweacel|freebsd
84.192.25.233|chrome|osx
196.90.101.126|iceweacel|unix
240.143.30.100|chrome|linux
42.74.136.110|opera|osx
149.28.215.0|iceweacel|windows
252.168.46.27|yandex|linux
226.193.135.119|opera|freebsd
131.6.137.111|iceweacel|unix
125.125.176.89|yandex|freebsd
114.222.187.34|chrome|osx
9.7.37.159|mozilla|freebsd
74.123.238.10|opera|osx
147.166.60.204|yandex|windows
166.80.158.159|chrome|freebsd
239.189.200.13|chrome|osx
222.183.133.16|mozilla|windows
184.45.216.148|mozilla|windows
57.133.198.183|mozilla|linux
225.11.78.225|mozilla|windows
70.133.232.238|yandex|freebsd
2.18.70.223|iceweacel|unix
35.150.94.214|yandex|linux
37.254.240.2|iceweacel|freebsd
230.182.59.231|yandex|unix
203.250.233.156|opera|osx
57.44.18.83|opera|osx
126.45.81.100|iceweacel|windows
121.130.143.46|yandex|unix
228.39.159.62|yandex|osx
210.206.86.164|yandex|linux
251.219.248.149|chrome|osx
100.30.71.185|yandex|windows
180.59.224.28|yandex|linux
156.11.187.3|iceweacel|windows
231.15.3.243|opera|freebsd
182.199.121.54|iceweacel|unix
118.102.186.125|chrome|linux
87.204.144.86|mozilla|osx
241.33.89.218|mozilla|unix
200.138.79.27|iceweacel|linux
17.1.175.239|yandex|linux
42.229.251.19|chrome|windows
35.52.203.179|mozilla|osx
73.236.231.103|mozilla|linux
26.83.240.144|yandex|freebsd
108.249.212.191|chrome|osx
203.39.113.88|opera|freebsd
209.210.181.7|mozilla|freebsd
58.104.239.64|opera|windows
46.254.18.78|chrome|freebsd
20.121.173.8|chrome|osx
63.144.147.11|mozilla|windows
178.43.188.133|yandex|unix
114.55.116.246|yandex|osx
34.214.221.98|opera|freebsd
90.99.89.150|opera|freebsd
237.188.199.203|mozilla|osx
241.102.11.123|mozilla|freebsd
206.125.164.214|iceweacel|osx
50.43.189.229|iceweacel|freebsd
89.42.165.115|chrome|windows
236.28.122.95|iceweacel|freebsd
24.212.81.158|chrome|linux
224.178.20.91|iceweacel|freebsd
11.237.214.242|chrome|windows
66.17.210.99|chrome|windows
122.11.74.246|iceweacel|unix
236.152.11.120|mozilla|windows
105.118.107.45|yandex|linux
82.66.80.117|iceweacel|unix
49.20.196.57|chrome|unix
36.18.45.178|opera|freebsd
8.76.212.14|iceweacel|unix
125.31.94.212|iceweacel|windows
31.161.210.186|yandex|osx
189.71.212.149|mozilla|linux
191.56.233.158|opera|windows
161.185.102.80|chrome|osx
85.192.185.206|chrome|unix
36.165.239.83|iceweacel|osx
164.200.175.115|opera|unix
216.119.137.196|opera|freebsd
83.173.47.229|mozilla|freebsd
91.199.199.72|chrome|windows
189.32.152.47|chrome|freebsd
51.246.53.97|yandex|freebsd
93.235.248.130|iceweacel|linux
170.208.3.173|iceweacel|osx
249.25.74.216|chrome|freebsd
145.30.205.191|yandex|unix
231.27.4.241|yandex|freebsd
187.115.110.37|yandex|windows
88.1.251.9|yandex|windows
189.50.234.38|iceweacel|linux
174.63.29.148|iceweacel|linux
92.28.102.82|iceweacel|linux
65.155.179.236|mozilla|unix
178.167.53.105|chrome|windows
206.61.206.235|chrome|freebsd
106.138.206.35|yandex|freebsd
121.97.78.41|iceweacel|windows
10.104.91.53|mozilla|osx
237.117.40.251|yandex|unix
163.175.21.183|iceweacel|freebsd
46.223.201.254|mozilla|unix
214.0.45.122|opera|windows
167.73.161.46|yandex|unix
150.224.23.74|mozilla|unix
134.67.198.149|iceweacel|unix
182.216.145.175|opera|windows
184.83.129.49|mozilla|windows
122.104.244.127|chrome|osx
224.178.114.177|iceweacel|freebsd
205.51.170.26|chrome|linux
147.75.195.254|opera|osx
